1,TV,LG,crocx,2020,122,12.4,12/10/2025 14:35:22,1
4,TV,Sony,bravia,2019,122,2,05/01/2025 10:15:00,2
5,masina de spalat,Beko,wmx812,2021,123,1,18/02/2025 09:30:45,3
7,cuptor electric,Bosch,hbf113,2018,122,1,30/01/2025 12:05:00,2
8,masina de spalat vase,Whirlpool,wfc3c26,2022,125,1,14/02/2025 08:40:55,4
9,aer conditionat,Samsung,ar12tx,2023,126,2,01/06/2025 18:10:30,3
10,televizor OLED,LG,c2,2022,122,1,20/12/2025 21:00:00,5
11,uscator de rufe,Electrolux,ew7h458,2021,124,1,11/11/2025 14:25:15,2
13,frigider side by side,Samsung,rs68,2019,125,1,29/04/2025 17:55:00,4
18,cuptor electric,Bosch,hbf113,2018,122,1,30/04/2025 17:05:00,2
20,TV,Samsung,QLED80,2021,150.5,55,10/01/2025 10:00:00,1
21,masina de spalat,Indesit,IWS,2018,90,5,12/01/2025 09:15:00,3
22,masina de spalat,Indesit,IWS,2018,90,5,12/01/2025 09:15:00,3
23,masina de spalat,Beko,,2022,100,6,13/01/2025 14:00:00,1
24,OZN,Alien,Ship,2050,9999,0,14/01/2025 00:00:00,5
39,TV,LG,oled,2022,400,55,10/02/2025 20:00:00,3
40,TV,Samsung,neoQLED,2023,500,65,11/02/2025 19:30:30,4
41,TV,Sony,xr,2021,350,55,12/02/2025 17:10:10,2
48,TV,LG,nanocell,2021,260,50,19/02/2025 09:09:09,2
50,TV,Samsung,seria7,2019,180,43,21/02/2025 18:18:18,2
